"","x"
"679",2016-08-12
"680",2016-08-15
"681",2016-08-16
"682",2016-08-17
"683",2016-08-18
"684",2016-08-19
"685",2016-08-22
"686",2016-08-23
"687",2016-08-24
"688",2016-08-25
"689",2016-08-26
"690",2016-08-29
"691",2016-08-30
"692",2016-08-31
"693",2016-09-01
"694",2016-09-02
"695",2016-09-05
"696",2016-09-06
"697",2016-09-07
"698",2016-09-08
"699",2016-09-09
"700",2016-09-12
"701",2016-09-13
"702",2016-09-14
"703",2016-09-15
"704",2016-09-16
"705",2016-09-19
"706",2016-09-20
"707",2016-09-21
"708",2016-09-22
"709",2016-09-23
"710",2016-09-26
"711",2016-09-27
"712",2016-09-28
"713",2016-09-29
"714",2016-09-30
"715",2016-10-03
"716",2016-10-04
"717",2016-10-05
"718",2016-10-06
"719",2016-10-07
"720",2016-10-10
"721",2016-10-11
"722",2016-10-12
"723",2016-10-13
"724",2016-10-14
"725",2016-10-17
"726",2016-10-18
"727",2016-10-19
"728",2016-10-20
"729",2016-10-21
"730",2016-10-24
"731",2016-10-25
"732",2016-10-26
"733",2016-10-27
"734",2016-10-28
"735",2016-10-31
"736",2016-11-01
"737",2016-11-02
"738",2016-11-03
"739",2016-11-04
"740",2016-11-07
"741",2016-11-08
"742",2016-11-09
"743",2016-11-10
"744",2016-11-11
"745",2016-11-14
"746",2016-11-15
"747",2016-11-16
"748",2016-11-17
"749",2016-11-18
"750",2016-11-21
"751",2016-11-22
"752",2016-11-23
"753",2016-11-24
"754",2016-11-25
"755",2016-11-28
"756",2016-11-29
"757",2016-11-30
"758",2016-12-01
"759",2016-12-02
"760",2016-12-05
"761",2016-12-06
"762",2016-12-07
"763",2016-12-08
"764",2016-12-09
"765",2016-12-12
"766",2016-12-13
"767",2016-12-14
"768",2016-12-15
"769",2016-12-16
"770",2016-12-19
"771",2016-12-20
"772",2016-12-21
"773",2016-12-22
"774",2016-12-23
"775",2016-12-26
"776",2016-12-27
"777",2016-12-28
"778",2016-12-29
"779",2016-12-30
"780",2017-01-02
"781",2017-01-03
"782",2017-01-04
"783",2017-01-05
"784",2017-01-06
"785",2017-01-09
"786",2017-01-10
"787",2017-01-11
"788",2017-01-12
"789",2017-01-13
"790",2017-01-16
"791",2017-01-17
"792",2017-01-18
"793",2017-01-19
"794",2017-01-20
"795",2017-01-23
"796",2017-01-24
"797",2017-01-25
"798",2017-01-26
"799",2017-01-27
"800",2017-01-30
"801",2017-01-31
"802",2017-02-01
"803",2017-02-02
"804",2017-02-03
"805",2017-02-06
"806",2017-02-07
"807",2017-02-08
"808",2017-02-09
